frame_id,capture_mono_ns,recv_mono_ns,save_mono_ns
642,15047719956144,194657522446574,194657523471932
643,15047751310632,194657533573231,194657534586000
644,15047787547070,194657600366617,194657601327973
645,15047819869979,194657610350074,194657611300047
646,15047850919992,194657655594110,194657656570505
647,15047887286585,194657690506675,194657691406372
648,15047920075320,194657696458066,194657697805774
649,15047950874035,194657738422970,194657739752895
650,15047987897908,194657778334598,194657779668716
651,15048019760148,194657818341353,194657819664480
652,15048051437234,194657857182458,194657858495971
653,15048087942210,194657887264213,194657888596077
654,15048119894812,194658016599025,194658017952073
655,15048151853143,194658053191784,194658054439983
656,15048187820003,194658058326054,194658059323872
657,15048219802970,194658082269642,194658083235409
658,15048251909944,194658091509703,194658092367156
659,15048288208674,194658096112660,194658096971514
660,15048319860552,194658119572727,194658120445047
661,15048351785759,194658160414484,194658161359253
662,15048387842252,194658211645951,194658212659462
663,15048419974279,194658241296372,194658242195670
664,15048451889226,194658255212339,194658256227651
665,15048487993375,194658314423180,194658315442696
666,15048519877124,194658318434989,194658319409402
667,15048552191960,194658327350943,194658328344034
668,15048587986583,194658448304380,194658449325033
669,15048619911842,194658449451539,194658450469758
670,15048651990693,194658453431563,194658454460212
671,15048687969479,194658490401202,194658491303653
672,15048719877030,194658514486531,194658515476322
673,15048751887652,194658559389573,194658560318693
674,15048787788940,194658599373268,194658600268119
675,15048819839302,194658603483840,194658604460961
676,15048851918673,194658675501114,194658676429346
677,15048887844231,194658685398234,194658686373762
678,15048919794594,194658727566370,194658728565340
679,15048951828705,194658734448479,194658735436861
680,15048987833064,194658802527936,194658803535581
681,15049020203681,194658839506995,194658840801517
682,15049051939828,194658877369258,194658878304457
683,15049087841845,194658880442545,194658881390731
684,15049119905383,194659055512003,194659056498159
685,15049151893714,194659078284701,194659079189781
686,15049183869024,194659086261110,194659087184872
687,15049219768646,194659094280106,194659095148899
688,15049251968327,194659124421505,194659125340997
689,15049282940217,194659139034805,194659139984953
690,15049319816020,194659156407518,194659157461333
691,15049352109033,194659164342309,194659165399926
692,15049383866430,194659173280658,194659174308385
693,15049419815530,194659247430864,194659248364274
694,15049451869328,194659276226371,194659277314123
695,15049483801983,194659277132926,194659277968751
696,15049520107587,194659318358955,194659319349110
697,15049551805350,194659333496871,194659334402939
698,15049583851076,194659394525655,194659395467469
699,15049619841216,194659408345464,194659409334782
700,15049651994753,194659488391115,194659489351047
701,15049683806056,194659515426886,194659516421007
702,15049719858330,194659523366037,194659524361469
703,15049751809527,194659537397332,194659538342467
704,15049783820670,194659605331131,194659606346379
705,15049819884611,194659633438180,194659634462285
706,15049851829349,194659687394977,194659688294902
707,15049884374442,194659689262503,194659690230482
708,15049919766727,194659722305813,194659723181862
709,15049951654852,194659729294089,194659730197036
710,15049983333240,194659808486005,194659809586650
